Alfred,Labrador,West Calder (Edinburgh)
Amber,Lurcher,Ilfracombe (Devon)
Apache,Spaniel: English Springer,Manchester
Astra,Akita,Harefield (West London)
Bailey,A Crossbreed,Snetterton (Norfolk)
Bailey,Beagle,Bridgend (Wales)
Bailey,Labrador,Ballymena (Northern Ireland)
Barley,Lurcher,Newbury (Berkshire)
Barney,A Crossbreed,Merseyside (Liverpool)
Bella,Bulldog: French,Canterbury
Bentley,,Canterbury
Berry,Hungarian Wirehaired Vizsla,Loughborough
Billy,Greyhound,Evesham (Worcestershire)
Blondie,Harrier,Kenilworth (West Midlands)
Blue,Shar-Pei,Kenilworth (West Midlands)
Boris,Terrier: Border,Ballymena (Northern Ireland)
Buck,Bearded Collie,Harefield (West London)
Buckley,Spaniel: English Springer,Newbury (Berkshire)
Bunny,Pomeranian,Merseyside (Liverpool)
Caddy,Lurcher,Kenilworth (West Midlands)
Callie,German Shepherd Dog (GSD / Alsatian),Glasgow
Chester,Border Collie,Merseyside (Liverpool)
Chloe,Border Collie,Loughborough
Clodagh,A Crossbreed,Snetterton (Norfolk)
Comet,Harrier,Shrewsbury (Shropshire)
Delilah,Terrier: Maltese,Loughborough
Denny,Greyhound,Newbury (Berkshire)
Dexter,Bulldog: English,Evesham (Worcestershire)
Dolly,Saluki,Newbury (Berkshire)
Domino,Terrier Cross,Bridgend (Wales)
Drummer,Greyhound,Leeds
Finn,Lab Cross,Harefield (West London)
Frank,Staffordshire Cross (SBT),Harefield (West London)
Frankie,Great Dane,Glasgow
Freya,German Shepherd Dog (GSD / Alsatian),Kenilworth (West Midlands)
Freya,Rottweiler,Ballymena (Northern Ireland)
Fudge,Spaniel: English Springer,Ilfracombe (Devon)
Georgia,Greyhound,Loughborough
Grace,Labrador,Ballymena (Northern Ireland)
Gunner,Harrier,Kenilworth (West Midlands)
Gunner,Foxhound,Loughborough
Hagrid,Cane Corso,Bridgend (Wales)
Hank,Dobermann,Salisbury (Wiltshire)
Hazel,Lurcher,Harefield (West London)
Heidi,Collie Cross (Border),Salisbury (Wiltshire)
Huxley,Border Collie,Glasgow
Jax,Shih Tzu,Ilfracombe (Devon)
Jeremy,Staffordshire Cross (SBT),West Calder (Edinburgh)
Jet,A Crossbreed,Darlington
Jip,Collie Cross (Border),Snetterton (Norfolk)
Kate,Greyhound,Manchester
Kenny,Greyhound,Manchester
Kip,Siberian Husky,Snetterton (Norfolk)
Lee Longlegs,Greyhound,West Calder (Edinburgh)
Lellie,Chihuahua: Long Hr,Darlington
Lexi,Staffordshire Bull Terrier (SBT),Manchester
Lily,Staffordshire Bull Terrier (SBT),Canterbury
Lola,St Bernard,Snetterton (Norfolk)
Luna,Dachshund: Min Smooth Hr,Salisbury (Wiltshire)
Mac,Greyhound,Manchester
Marley,A Crossbreed,Darlington
Marley,Siberian Husky,Evesham (Worcestershire)
Millie,Border Collie,Ballymena (Northern Ireland)
Milo,Siberian Husky,Glasgow
Milo,Jack Russell Terrier (JRT),Ballymena (Northern Ireland)
Nala,Mastiff: Old English,Merseyside (Liverpool)
Nellie,A Crossbreed,Leeds
Nimbus,Terrier Cross,Snetterton (Norfolk)
Odie,Collie Cross (Border),West Calder (Edinburgh)
Ozzy,Collie Cross (Border),Bridgend (Wales)
Peter,Shar-Pei,Bridgend (Wales)
Phoebe,Lab Cross,Salisbury (Wiltshire)
Pickle,Terrier Cross,Shrewsbury (Shropshire)
Pippa,A Crossbreed,Kenilworth (West Midlands)
Poppy,Pug,Darlington
Quincey,Spaniel Cross,West Calder (Edinburgh)
Rambler,Foxhound,Merseyside (Liverpool)
Rap,Greyhound,Manchester
Reggie,Lurcher,Darlington
Rico,Dogue De Bordeaux,Harefield (West London)
Ronald,Siberian Husky,Glasgow
Rose,Greyhound,Loughborough
Rosie,Staffordshire Bull Terrier (SBT),Canterbury
Rubble,American Bulldog,Merseyside (Liverpool)
Saffie,Dobermann,Ilfracombe (Devon)
Sarah,Greyhound,Manchester
Sasha,German Shepherd Dog (GSD / Alsatian),Bridgend (Wales)
Scooby,Greyhound,Ilfracombe (Devon)
Shadow,Lab Cross,Snetterton (Norfolk)
Shadow,Siberian Husky,Kenilworth (West Midlands)
Shane,Border Collie,Ilfracombe (Devon)
Sooty,Greyhound,Loughborough
Stevie,Greyhound,Shrewsbury (Shropshire)
Susie,Greyhound,Salisbury (Wiltshire)
Taggart,German Shepherd Dog (GSD / Alsatian),Harefield (West London)
Taylor,Greyhound,Evesham (Worcestershire)
Theo,Border Collie,Loughborough
Vixen,A Crossbreed,Bridgend (Wales)
Wallace,Staffordshire Cross (SBT),Bridgend (Wales)
Walter,Harrier,Loughborough
Wilma,Chihuahua: Short Hr,Darlington
Winter,Bulldog: French,Bridgend (Wales)
Wolfie,Lurcher,Newbury (Berkshire)
Yogi Bear,Mastiff: Old English,Bridgend (Wales)
Ziggy,Greyhound,Manchester
